"Sample","site","chamberID","year","mon","mday","gasName","Location","SampleType","Run","id.x","time_label","peakArea","fname","Known.conc","id.y","diameter_cm","height_cm","area_m2","volume_m3","lon","lat","Easting","Northing","mmntID","date","startTime","Soil_moisture_.","Nitrate_conc_g_kg","Pressure","Temp","GC_filename.x","time_mins.x","sampleName.x","GC_filename.y","time_mins.y","sampleName.y","GC_filename","time_mins","sampleName","Sec"
"1  James column Day 23 260613","EB","01",2013,6,6,"N2O","P1-A-05",1,6,6,0,74.7775344848633,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,24.72,0.125036173011037,0.0309089419683284,-3,56,5e+05,6e+05,"EB_2013_06_06_01",2013-06-06,1899-12-31 10:25:00,33.5,5,1000,16,"S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_01_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_01_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_01_00",0
"1  James column Day 23 260613","EB","01",2013,6,6,"CO2","P1-A-05",1,6,6,0,56.0306205749512,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,24.72,0.125036173011037,0.0309089419683284,-3,56,5e+05,6e+05,"EB_2013_06_06_01",2013-06-06,1899-12-31 10:25:00,33.5,5,1000,16,"S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_01_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_01_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_01_00",0
"1  James column Day 23 260613","EB","01",2013,6,6,"CH4","P1-A-05",1,6,6,0,4.18360662460327,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,24.72,0.125036173011037,0.0309089419683284,-3,56,5e+05,6e+05,"EB_2013_06_06_01",2013-06-06,1899-12-31 10:25:00,33.5,5,1000,16,"S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_01_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_01_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_01_00",0
"10","EB","03",2013,6,6,"N2O","P1-B-06",1,15,15,15,98.6977996826172,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,26.32,0.125036173011037,0.032909520736505,-3,56,5e+05,6e+05,"EB_2013_06_06_03",2013-06-06,1899-12-31 10:28:00,36.3,2,1000,16.1,"S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_03_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_03_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_03_15",840
"10","EB","03",2013,6,6,"CO2","P1-B-06",1,15,15,15,129.635223388672,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,26.32,0.125036173011037,0.032909520736505,-3,56,5e+05,6e+05,"EB_2013_06_06_03",2013-06-06,1899-12-31 10:28:00,36.3,2,1000,16.1,"S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_03_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_03_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_03_15",840
"10","EB","03",2013,6,6,"CH4","P1-B-06",1,15,15,15,4.1583104133606,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,26.32,0.125036173011037,0.032909520736505,-3,56,5e+05,6e+05,"EB_2013_06_06_03",2013-06-06,1899-12-31 10:28:00,36.3,2,1000,16.1,"S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_03_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_03_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_03_15",840
"11","EB","03",2013,6,6,"N2O","P1-B-07",1,16,16,30,98.637565612793,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,26.32,0.125036173011037,0.032909520736505,-3,56,5e+05,6e+05,"EB_2013_06_06_03",2013-06-06,1899-12-31 10:28:00,36.3,2,1000,16.1,"S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_03_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_03_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_03_30",1920
"11","EB","03",2013,6,6,"CH4","P1-B-07",1,16,16,30,4.20123147964478,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,26.32,0.125036173011037,0.032909520736505,-3,56,5e+05,6e+05,"EB_2013_06_06_03",2013-06-06,1899-12-31 10:28:00,36.3,2,1000,16.1,"S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_03_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_03_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_03_30",1920
"11","EB","03",2013,6,6,"CO2","P1-B-07",1,16,16,30,117.433563232422,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,26.32,0.125036173011037,0.032909520736505,-3,56,5e+05,6e+05,"EB_2013_06_06_03",2013-06-06,1899-12-31 10:28:00,36.3,2,1000,16.1,"S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_03_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_03_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_03_30",1920
"12","EB","03",2013,6,6,"N2O","P1-B-08",1,17,17,45,86.26953125,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,26.32,0.125036173011037,0.032909520736505,-3,56,5e+05,6e+05,"EB_2013_06_06_03",2013-06-06,1899-12-31 10:28:00,36.3,2,1000,16.1,"S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_03_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_03_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_03_45",2580
"12","EB","03",2013,6,6,"CH4","P1-B-08",1,17,17,45,4.19141530990601,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,26.32,0.125036173011037,0.032909520736505,-3,56,5e+05,6e+05,"EB_2013_06_06_03",2013-06-06,1899-12-31 10:28:00,36.3,2,1000,16.1,"S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_03_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_03_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_03_45",2580
